Dx,Dy,Fz,Load_Case
0.00,0.00,0,transition
0.00,0.00,-400,transition
2.21,2.21,-400,LC2a
-2.21,-2.21,-400,LC2a
4.42,4.42,-400,LC2a
-4.42,-4.42,-400,LC2a
6.63,6.63,-400,LC2a
-6.63,-6.63,-400,LC2a
8.83,8.83,-400,LC2a
-8.83,-8.83,-400,LC2a
11.04,11.04,-400,LC2a
-11.04,-11.04,-400,LC2a
12.82,12.82,-400,LC2a
-13.24,-13.24,-400,LC2a
0.00,0.00,-400,LC2a
0.00,0.00,-800,transition
2.21,2.21,-800,LC2b
-2.21,-2.21,-800,LC2b
4.42,4.42,-800,LC2b
-4.42,-4.42,-800,LC2b
6.63,6.63,-800,LC2b
-6.63,-6.63,-800,LC2b
8.83,8.83,-800,LC2b
-8.83,-8.83,-800,LC2b
2.21,2.21,-800,LC2b
-2.21,-2.21,-800,LC2b
8.83,8.83,-800,LC2b
-8.83,-8.83,-800,LC2b
0.00,0.00,-800,LC2b
0.00,0.00,-200,transition
3.12,0.00,-200,LC3a
3.12,3.12,-200,LC3a
0.00,3.12,-200,LC3a
0.00,-3.12,-200,LC3a
-3.12,-3.12,-200,LC3a
-3.12,0.00,-200,LC3a
6.24,0.00,-200,LC3a
6.24,6.24,-200,LC3a
0.00,6.24,-200,LC3a
0.00,-6.24,-200,LC3a
-6.24,-6.24,-200,LC3a
-6.24,0.00,-200,LC3a
9.36,0.00,-200,LC3a
9.36,9.36,-200,LC3a
0.00,9.36,-200,LC3a
0.00,-9.36,-200,LC3a
-9.36,-9.36,-200,LC3a
-9.36,0.00,-200,LC3a
12.48,0.00,-200,LC3a
12.48,12.48,-200,LC3a
0.00,12.48,-200,LC3a
0.00,-12.39,-200,LC3a
-12.48,-12.39,-200,LC3a
-12.48,0.00,-200,LC3a
0.00,0.00,-200,LC3a
0.00,0.00,-600,transition
3.12,0.00,-600,LC3b
3.12,3.12,-600,LC3b
0.00,3.12,-600,LC3b
0.00,-3.12,-600,LC3b
-3.12,-3.12,-600,LC3b
-3.12,0.00,-600,LC3b
6.24,0.00,-600,LC3b
6.24,6.24,-600,LC3b
0.00,6.24,-600,LC3b
0.00,-6.24,-600,LC3b
-6.24,-6.24,-600,LC3b
-6.24,0.00,-600,LC3b
9.36,0.00,-600,LC3b
9.36,9.36,-600,LC3b
0.00,9.36,-600,LC3b
0.00,-9.36,-600,LC3b
-9.36,-9.36,-600,LC3b
-9.36,0.00,-600,LC3b
12.48,0.00,-600,LC3b
12.48,12.48,-600,LC3b
0.00,12.48,-600,LC3b
0.00,-12.39,-600,LC3b
-12.48,-12.39,-600,LC3b
-12.48,0.00,-600,LC3b
0.00,0.00,-600,LC3b
