Dx,Dy,Fz,Load_Case
0.88,0,0,transition
1.155,0,-400,transition
3.123,0,-400,LC2a
-3.124,0,-400,LC2a
6.246,0,-400,LC2a
-6.246,0,-400,LC2a
9.366,0,-400,LC2a
-9.366,0,-400,LC2a
12.49,0,-400,LC2a
-12.48,0,-400,LC2a
14.57,0,-400,LC2a
-14.53,0,-400,LC2a
0,0,-400,LC2a
0,0,-800,transition
3.125,0,-800,LC2b
-3.123,0,-800,LC2b
6.246,0,-800,LC2b
-6.244,0,-800,LC2b
9.367,0,-800,LC2b
-9.362,0,-800,LC2b
12.49,0,-800,LC2b
-12.48,0,-800,LC2b
0.00,0.00,-800,LC2b
0.00,0.00,-300,transition
3.12,0.00,-300,LC3a
3.12,3.12,-300,LC3a
0.00,3.12,-300,LC3a
0.00,-3.12,-300,LC3a
-3.12,-3.12,-300,LC3a
-3.12,0.00,-300,LC3a
6.24,0.00,-300,LC3a
6.24,6.24,-300,LC3a
0.00,6.24,-300,LC3a
0.00,-6.24,-300,LC3a
-6.24,-6.24,-300,LC3a
-6.24,0.00,-300,LC3a
9.36,0.00,-300,LC3a
9.36,9.36,-300,LC3a
0.00,9.36,-300,LC3a
0.00,-9.36,-300,LC3a
-9.36,-9.36,-300,LC3a
-9.36,0.00,-300,LC3a
12.48,0.00,-300,LC3a
12.48,12.48,-300,LC3a
0.00,12.48,-300,LC3a
0.00,-12.34,-300,LC3a
-12.48,-12.34,-300,LC3a
-12.48,0.00,-300,LC3a
0.00,0.00,-300,LC3a
0.00,0.00,-500,transition
3.12,0.00,-500,LC3b
3.12,3.12,-500,LC3b
0.00,3.12,-500,LC3b
0.00,-3.12,-500,LC3b
-3.12,-3.12,-500,LC3b
-3.12,0.00,-500,LC3b
6.24,0.00,-500,LC3b
6.24,6.24,-500,LC3b
0.00,6.24,-500,LC3b
0.00,-6.24,-500,LC3b
-6.24,-6.24,-500,LC3b
-6.24,0.00,-500,LC3b
9.36,0.00,-500,LC3b
9.36,9.36,-500,LC3b
0.00,9.36,-500,LC3b
0.00,-9.36,-500,LC3b
-9.36,-9.36,-500,LC3b
-9.36,0.00,-500,LC3b
12.48,0.00,-500,LC3b
12.48,12.48,-500,LC3b
0.00,12.48,-500,LC3b
0.00,-12.45,-500,LC3b
-12.48,-12.45,-500,LC3b
-12.48,0.00,-500,LC3b
0.00,0.00,-500,LC3b
