Dx,Dy,Fz,Load_Case
0.00,0.00,0,transition
0.81,-3.02,-600,transition
-0.81,3.02,-600,LC2a
1.62,-6.03,-600,LC2a
-1.62,6.03,-600,LC2a
2.42,-9.04,-600,LC2a
-2.42,9.04,-600,LC2a
3.23,-12.06,-600,LC2a
0.00,0.00,-600,LC2a
0.00,0.00,-300,transition
0.81,-3.02,-300,LC2b
-0.81,3.02,-300,LC2b
1.62,-6.03,-300,LC2b
-1.62,6.03,-300,LC2b
2.42,-9.04,-300,LC2b
-2.42,9.04,-300,LC2b
3.23,-12.06,-300,LC2b
-3.16,11.81,-300,LC2b
3.32,-12.41,-300,LC2b
0.00,0.00,-300,LC2b
0.00,0.00,-450,transition
3.12,0.00,-450,LC3a
3.12,3.12,-450,LC3a
0.00,3.12,-450,LC3a
0.00,-3.12,-450,LC3a
-3.12,-3.12,-450,LC3a
-3.12,0.00,-450,LC3a
6.24,0.00,-450,LC3a
6.24,6.24,-450,LC3a
0.00,6.24,-450,LC3a
0.00,-6.24,-450,LC3a
-6.24,-6.24,-450,LC3a
-6.24,0.00,-450,LC3a
9.36,0.00,-450,LC3a
9.36,9.36,-450,LC3a
0.00,9.36,-450,LC3a
0.00,-9.36,-450,LC3a
-9.36,-9.36,-450,LC3a
-9.36,0.00,-450,LC3a
12.48,0.00,-450,LC3a
12.48,11.19,-450,LC3a
0.00,11.19,-450,LC3a
0.00,-12.27,-450,LC3a
-12.48,-12.27,-450,LC3a
-12.48,0.00,-450,LC3a
0.00,0.00,-450,LC3a
3.12,0.00,-150,transition
3.12,3.12,-150,LC3b
0.00,3.12,-150,LC3b
0.00,-3.12,-150,LC3b
-3.12,-3.12,-150,LC3b
-3.12,0.00,-150,LC3b
6.24,0.00,-150,LC3b
6.24,6.24,-150,LC3b
0.00,6.24,-150,LC3b
0.00,-6.24,-150,LC3b
-6.24,-6.24,-150,LC3b
-6.24,0.00,-150,LC3b
9.36,0.00,-150,LC3b
9.36,9.36,-150,LC3b
0.00,9.36,-150,LC3b
0.00,-9.36,-150,LC3b
-9.36,-9.36,-150,LC3b
-9.36,0.00,-150,LC3b
12.48,0.00,-150,LC3b
12.48,11.25,-150,LC3b
0.00,11.25,-150,LC3b
0.00,-12.29,-150,LC3b
-12.48,-12.29,-150,LC3b
-12.48,0.00,-150,LC3b
0.00,0.00,-150,LC3b
