Dx,Dy,Fz,Load_Case
0,0,0,transition
0,0,-400,transition
3.127,0,-400,LC2a
-3.122,0,-400,LC2a
6.248,0,-400,LC2a
-6.243,0,-400,LC2a
9.367,0,-400,LC2a
-9.362,0,-400,LC2a
12.49,0,-400,LC2a
-12.48,0,-400,LC2a
13.87,0,-400,LC2a
-13.95,0,-400,LC2a
0,0,-400,LC2a
0,0,-200,transition
3.125,0,-200,LC2b
-3.123,0,-200,LC2b
6.246,0,-200,LC2b
-6.244,0,-200,LC2b
9.367,0,-200,LC2b
-9.362,0,-200,LC2b
12.49,0,-200,LC2b
-12.48,0,-200,LC2b
13.89,0,-200,LC2b
-13.96,0,-200,LC2b
0.00,0.00,-200,LC2b
0.00,0.00,-300,transition
3.12,0.00,-300,LC3a
3.12,3.12,-300,LC3a
0.00,3.12,-300,LC3a
0.00,-3.12,-300,LC3a
-3.12,-3.12,-300,LC3a
-3.12,0.00,-300,LC3a
6.24,0.00,-300,LC3a
6.24,6.24,-300,LC3a
0.00,6.24,-300,LC3a
0.00,-6.24,-300,LC3a
-6.24,-6.24,-300,LC3a
-6.24,0.00,-300,LC3a
9.36,0.00,-300,LC3a
9.36,9.36,-300,LC3a
0.00,9.36,-300,LC3a
0.00,-9.36,-300,LC3a
-9.36,-9.36,-300,LC3a
-9.36,0.00,-300,LC3a
12.48,0.00,-300,LC3a
12.48,12.09,-300,LC3a
0.00,12.09,-300,LC3a
0.00,12.64,-300,LC3a
0.00,-11.82,-300,LC3a
-12.48,-12.00,-300,LC3a
-12.48,0.00,-300,LC3a
0.00,0.00,-300,LC3a
0.00,0.00,-500,transition
3.12,0.00,-500,LC3b
3.12,3.12,-500,LC3b
0.00,3.12,-500,LC3b
0.00,-3.12,-500,LC3b
-3.12,-3.12,-500,LC3b
-3.12,0.00,-500,LC3b
6.24,0.00,-500,LC3b
6.24,6.24,-500,LC3b
0.00,6.24,-500,LC3b
0.00,-6.24,-500,LC3b
-6.24,-6.24,-500,LC3b
-6.24,0.00,-500,LC3b
9.36,0.00,-500,LC3b
9.36,9.36,-500,LC3b
0.00,9.36,-500,LC3b
0.00,-9.36,-500,LC3b
-9.36,-9.36,-500,LC3b
-9.36,0.00,-500,LC3b
12.48,0.00,-500,LC3b
12.48,12.18,-500,LC3b
0.00,12.18,-500,LC3b
0.00,-11.91,-500,LC3b
-12.48,-11.91,-500,LC3b
-12.48,0.00,-500,LC3b
0.00,0.00,-500,LC3b
