Dx,Dy,Fz,Load_Case
0.00,0.00,0,transition
0.00,0.00,-200,transition
3.124,0,-200,LC2a
-3.124,0,-200,LC2a
6.246,0,-200,LC2a
-6.246,0,-200,LC2a
9.368,0,-200,LC2a
-9.368,0,-200,LC2a
12.49,0,-200,LC2a
-12.49,0,-200,LC2a
14.13,0,-200,LC2a
-14.13,0,-200,LC2a
0,0,-200,LC2a
0.00,0.00,-400,transition
3.124,0,-400,LC2b
-3.124,0,-400,LC2b
6.246,0,-400,LC2b
-6.246,0,-400,LC2b
9.368,0,-400,LC2b
-9.368,0,-400,LC2b
12.49,0,-400,LC2b
-12.49,0,-400,LC2b
14.13,0,-400,LC2b
-14.13,0,-400,LC2b
0,0,-400,LC2b
0.00,0.00,-300,transition
3.12,0.00,-300,LC3a
3.12,3.12,-300,LC3a
0.00,3.12,-300,LC3a
0.00,-3.12,-300,LC3a
-3.12,-3.12,-300,LC3a
-3.12,0.00,-300,LC3a
6.24,0.00,-300,LC3a
6.24,6.24,-300,LC3a
0.00,6.24,-300,LC3a
0.00,-6.24,-300,LC3a
-6.24,-6.24,-300,LC3a
-6.24,0.00,-300,LC3a
9.36,0.00,-300,LC3a
9.36,9.36,-300,LC3a
0.00,9.36,-300,LC3a
0.00,-9.36,-300,LC3a
-9.36,-9.36,-300,LC3a
-9.36,0.00,-300,LC3a
12.48,0.00,-300,LC3a
12.48,12.45,-300,LC3a
0.00,12.45,-300,LC3a
0.00,-12.02,-300,LC3a
-12.48,-12.02,-300,LC3a
-12.48,0.00,-300,LC3a
0.00,0.00,-300,LC3a
0.00,0.00,-500,transition
3.12,0.00,-500,LC3b
3.12,3.12,-500,LC3b
0.00,3.12,-500,LC3b
0.00,-3.12,-500,LC3b
-3.12,-3.12,-500,LC3b
-3.12,0.00,-500,LC3b
6.24,0.00,-500,LC3b
6.24,6.24,-500,LC3b
0.00,6.24,-500,LC3b
0.00,-6.24,-500,LC3b
-6.24,-6.24,-500,LC3b
-6.24,0.00,-500,LC3b
9.36,0.00,-500,LC3b
9.36,9.36,-500,LC3b
0.00,9.36,-500,LC3b
0.00,-9.36,-500,LC3b
-9.36,-9.36,-500,LC3b
-9.36,0.00,-500,LC3b
12.48,0.00,-500,LC3b
12.48,12.48,-500,LC3b
0.00,12.48,-500,LC3b
0.00,-12.24,-500,LC3b
0.00,-12.00,-500,LC3b
-12.48,-12.00,-500,LC3b
-12.48,0.00,-500,LC3b
0.00,0.00,-500,LC3b
